SeriousDlqin2yrs	RevolvingUtilizationOfUnsecuredLines	age	NumberOfTime30-59DaysPastDueNotWorse	DebtRatio	MonthlyIncome	NumberOfOpenCreditLinesAndLoans	NumberOfTimes90DaysLate	NumberRealEstateLoansOrLines	NumberOfTime60-89DaysPastDueNotWorse	NumberOfDependents
0	0.026417418	56	0	0.36116815	4382.0	8	0	1	0	2.0
0	0.005150182	63	0	0.357960003	11450.0	15	0	5	0	0.0
0	0.568589312	45	0	0.18075915	10300.0	10	0	0	0	3.0
0	0.025679658	89	0	0.004889766	11656.0	5	0	0	0	2.0
0	0.425551164	36	0	0.937354215	3000.0	12	0	1	0	2.0
0	0.012013055	45	0	0.001371272	2916.0	3	0	0	0	0.0
1	0.9999999	58	0	0.003552972	3095.0	0	2	0	0	2.0
0	0.063693797	64	0	0.291639494	15333.0	7	0	2	0	3.0
0	0.055184508	75	0	0.054811206	6567.0	4	0	0	0	0.0
0	0.162014574	59	0	0.227179873	9300.0	11	0	2	0	0.0
0	0.091143741	56	0	0.06656051	3139.0	11	0	0	0	3.0
0	0.618887304	41	2	998.0	0.0	7	0	1	0	2.0
0	0.162083899	57	0	0.760692157	13233.0	21	0	3	0	1.0
0	0.022654727	35	0	1.067613786	3800.0	11	0	2	0	0.0
0	0.009127971	33	0	3.142857143	300.0	8	0	1	0	2.0
0	0.000945877	36	0	0.158780904	9383.0	11	0	4	0	2.0
0	0.202528481	40	0	0.295950483	9531.0	4	0	2	0	2.0
0	0.411759477	43	0	0.347590478	5166.0	7	0	2	0	1.0
0	0.9999999	59	0	0.578158458	1400.0	2	0	1	0	2.0
1	0.9999999	80	0	0.581395349	1160.0	1	2	0	0	0.0
0	0.319726228	54	0	0.289566237	14500.0	12	0	2	0	2.0
0	0.151912549	36	0	0.266394467	12000.0	22	0	2	0	0.0
0	0.0	73	0	0.237229102	2583.0	9	0	1	0	0.0
0	0.31039777	42	0	0.23376974	7408.0	9	0	1	0	1.0
0	0.314173549	63	0	0.971323179	8403.0	15	0	3	0	0.0
0	0.051015361	61	0	0.652916389	4508.0	14	0	2	0	0.0
0	0.050036964	57	0	0.22516167	1700.0	6	0	0	0	0.0
0	0.380705255	38	0	0.501861331	4297.0	13	0	1	0	5.0
0	0.901290674	27	0	0.128342246	4300.0	8	0	0	0	0.0
0	0.861585778	48	1	0.313303547	10966.0	14	0	1	0	0.0
0	0.493959862	44	0	0.556185644	6700.0	13	0	3	0	0.0
0	0.069546252	44	0	0.079168333	2500.0	7	0	0	0	2.0
1	0.876650321	25	0	0.025081788	2750.0	2	0	0	1	0.0
0	0.048418673	51	0	0.356153219	7361.0	12	0	1	0	2.0
1	0.9999999	59	1	0.02610386	3600.0	0	2	0	0	0.0
0	0.840010774	38	0	0.142544949	10066.0	11	1	1	0	0.0
0	0.456069907	53	1	0.851885507	2200.0	12	0	1	0	1.0
0	0.017837002	82	0	0.677147239	2607.0	11	0	1	0	0.0
0	0.003647622	49	0	1.071381651	4566.0	7	0	2	0	1.0
1	1.020395921	61	0	0.166568838	15332.0	6	2	1	2	1.0
0	0.945729791	35	0	0.404958678	3750.0	4	0	1	0	1.0
0	0.957008598	35	0	1.306906907	1664.0	6	0	1	0	0.0
0	0.072866427	57	0	0.217710654	12116.0	10	0	3	0	0.0
0	0.022622209	78	0	0.001919939	10416.0	7	0	0	0	0.0
1	0.299621909	49	3	0.777724893	2100.0	15	2	1	0	1.0
0	0.060727867	39	0	0.016637338	6250.0	12	0	0	0	0.0
0	0.571796696	50	0	0.882575296	8200.0	12	0	3	0	0.0
0	0.055518163	46	0	0.609778598	4335.0	7	0	1	0	2.0
0	0.029323098	42	0	0.130271157	10362.0	6	0	1	0	0.0
0	0.267614589	42	0	225.0	0.0	4	0	0	0	0.0
0	0.068878301	42	0	0.601795681	4120.0	5	0	2	0	2.0
0	0.465469856	50	1	0.361975252	8646.0	8	0	1	0	0.0
0	0.020412385	46	0	0.10875	8799.0	4	1	0	0	1.0
1	1.060939061	39	2	0.574440433	6924.0	6	3	4	2	0.0
0	0.040740529	68	0	1.215178158	2160.0	8	0	1	0	0.0
0	0.0	74	0	0.152738904	2500.0	4	0	0	0	0.0
0	0.075444137	52	1	0.210423684	5640.0	15	0	1	0	2.0
0	0.029332635	63	0	0.003083248	11675.0	7	0	0	0	0.0
0	0.038941112	62	0	0.350402341	4100.0	13	0	2	0	0.0
0	0.075007856	38	0	0.300098578	7100.0	12	0	1	0	1.0
0	0.006911511	87	0	0.000995421	5022.0	3	0	0	0	0.0
0	0.749482029	60	0	0.713319612	3400.0	7	0	1	0	0.0
0	0.161347092	54	0	0.156351498	11083.0	10	0	1	0	0.0
0	0.015166306	67	0	0.033318982	72000.0	10	0	1	0	1.0
0	0.491773137	74	1	0.174935843	4675.0	9	0	0	0	0.0
0	0.079095316	80	0	0.46406179	11004.0	15	0	3	0	0.0
0	0.129952668	63	0	0.160725859	10800.0	7	0	2	0	0.0
0	0.02563718	60	0	0.551876742	6100.0	10	0	2	0	2.0
0	0.82148308	50	2	0.459943909	8200.0	14	0	3	2	0.0
0	0.351122793	31	0	0.294852574	2000.0	5	0	0	0	0.0
0	0.00519948	64	0	0.134621793	3000.0	4	0	1	0	0.0
0	0.179422875	41	0	0.34166011	5083.0	4	0	1	0	2.0
0	0.097917495	60	0	0.118985387	16833.0	5	0	2	0	2.0
0	1.026986094	32	0	0.371439351	5300.0	11	0	0	0	0.0
0	0.003999907	77	0	0.536185526	2500.0	10	0	2	0	0.0
0	0.0	34	0	0.005427021	3500.0	7	0	0	0	0.0
0	0.005084407	60	0	0.125511856	10500.0	15	0	2	0	0.0
0	0.0	62	0	0.0	4000.0	3	0	0	0	0.0
0	0.469306139	33	0	0.409696142	2928.0	5	1	1	0	1.0
0	0.000850555	60	0	0.371641034	5916.0	6	0	2	0	0.0
0	0.190591881	58	0	0.289176866	12500.0	4	1	1	0	0.0
0	0.040890166	62	0	0.57200089	8985.0	10	0	2	0	0.0
1	0.0	31	1	0.403250774	2583.0	5	0	0	2	0.0
0	0.500159498	61	0	0.515976547	22000.0	29	0	5	7	1.0
0	0.54015928	56	0	0.380603233	6000.0	9	0	1	0	0.0
0	0.102702249	68	0	0.189047671	9166.0	6	0	2	0	1.0
0	0.070792358	32	0	0.074708047	6250.0	8	0	0	0	1.0
0	0.051715462	61	0	0.121411227	7000.0	5	0	1	0	0.0
0	0.643202526	67	2	0.673752057	7291.0	15	0	5	0	0.0
0	0.190559055	51	0	0.27882899	2800.0	5	0	1	0	2.0
0	0.179018372	47	0	0.08172571	2850.0	9	0	0	0	0.0
0	0.99491709	53	1	0.02374324	31250.0	4	0	0	0	1.0
0	0.670204584	42	0	0.118478261	3679.0	4	0	0	0	1.0
0	0.015485355	89	1	0.002767017	1806.0	1	0	0	0	0.0
0	0.957673721	62	0	0.237168378	7500.0	6	0	1	0	2.0
1	0.0	31	0	0.430122892	3498.0	10	0	1	0	0.0
0	0.200078643	71	0	1.011993603	3751.0	21	0	2	0	0.0
0	0.104163195	48	0	0.140852871	16250.0	3	0	1	0	0.0
0	0.003515045	68	0	0.000298626	10045.0	6	0	0	0	0.0
0	0.812182029	47	1	0.155207504	11300.0	8	0	0	1	0.0
0	0.318931157	46	2	0.395505274	6540.0	26	0	2	0	0.0
0	0.241143882	42	0	0.32045547	2458.0	9	0	0	0	0.0
0	0.047223819	55	0	0.003166491	18000.0	6	0	0	0	0.0
0	0.104511984	36	0	0.458726078	3500.0	6	0	2	0	0.0
0	0.109565965	34	0	0.075966851	5791.0	5	0	0	0	0.0
1	0.0	46	0	0.008660893	1500.0	4	1	0	0	0.0
0	0.207485602	46	0	0.294488751	8400.0	7	0	1	0	4.0
0	0.870518952	55	0	0.246648396	13500.0	7	0	1	0	1.0
0	0.01119639	61	0	0.198345181	8580.0	10	0	1	0	0.0
0	0.715997721	47	0	0.287948482	25000.0	7	0	1	1	4.0
0	0.013399702	87	0	0.004165972	6000.0	7	0	0	0	0.0
0	0.854145854	47	0	0.094952524	2000.0	2	0	0	0	1.0
0	0.031680177	47	0	0.324850027	5500.0	6	0	2	0	0.0
0	0.056975419	57	0	0.004914286	17499.0	5	0	0	0	2.0
1	0.332690365	52	1	0.496490912	5556.0	10	2	2	0	0.0
0	0.26289236	52	0	0.364815997	4700.0	8	0	1	0	0.0
0	0.780339582	54	0	0.150821895	5900.0	5	0	0	0	0.0
0	0.9999999	47	0	0.48970206	5000.0	7	0	2	0	0.0
0	0.0	63	0	0.419131411	5341.0	4	0	2	0	0.0
0	0.112992938	41	0	0.394569989	6150.0	4	0	1	0	3.0
0	0.074042657	62	1	0.225177482	10000.0	14	0	2	0	0.0
0	0.0	48	0	0.224472502	11800.0	5	0	1	0	0.0
0	0.16656548	43	0	0.433252753	3722.0	5	0	1	0	0.0
0	0.013086568	43	0	2.600719424	1667.0	20	0	2	0	1.0
0	0.093438428	68	0	0.060168739	9007.0	6	0	2	0	0.0
0	0.118233001	57	1	0.576462875	6100.0	14	0	2	0	1.0
0	0.160938335	41	0	0.537962713	3700.0	8	0	2	0	1.0
0	0.093623821	67	0	0.01973001	8666.0	6	0	0	0	0.0
0	0.669486052	47	0	1.664493997	2914.0	14	0	5	0	2.0
0	0.015314531	71	0	0.060470431	10500.0	15	0	1	0	0.0
0	0.190022252	30	1	0.189962752	5100.0	22	0	0	0	0.0
0	0.128437015	49	0	0.195637085	10084.0	6	0	1	0	1.0
0	0.09907597	62	0	0.234635117	9550.0	8	0	2	0	0.0
0	0.115094245	65	0	0.009198773	7500.0	3	0	1	0	1.0
0	0.771915873	52	2	0.659254519	6250.0	8	0	2	0	0.0
0	0.15124221	57	0	0.310868031	2833.0	11	0	0	0	0.0
0	0.034553491	59	1	0.004475764	10500.0	8	0	0	0	0.0
0	0.059837606	61	0	0.215317994	19166.0	4	0	3	0	1.0
0	0.033864408	57	0	0.448063079	5833.0	13	0	2	0	0.0
0	0.044953524	77	0	0.382902939	3368.0	9	0	0	0	0.0
0	0.162649112	69	0	0.297337833	8000.0	12	0	2	0	1.0
0	0.506946605	69	1	0.708935417	3390.0	12	0	1	0	1.0
0	0.299267518	57	0	0.517393043	2500.0	6	0	1	0	1.0
0	0.509171091	36	0	0.533348826	4302.0	6	0	1	0	1.0
0	0.413113029	72	0	5202.0	0.0	16	0	1	0	0.0
1	1.036414156	59	3	0.293066667	7499.0	4	0	1	0	0.0
0	0.097610119	26	0	0.227939216	3750.0	7	0	0	0	0.0
0	0.397600072	59	0	0.869639794	4080.0	11	0	3	0	0.0
0	0.568655517	53	2	0.560654248	2200.0	7	0	0	0	0.0
0	0.262219624	42	1	0.231264231	10100.0	13	0	2	1	2.0
0	0.150276217	46	0	0.361704787	8000.0	11	0	2	1	4.0
0	0.9999999	23	0	152.0	0.0	2	0	0	0	0.0
0	0.002236979	74	0	0.210197451	4000.0	11	0	0	0	1.0
0	0.024433572	75	0	0.071991772	5833.0	15	0	1	0	0.0
0	0.036459189	58	0	0.128316976	2750.0	6	0	0	0	1.0
0	0.9999999	35	0	0.189107413	2643.0	1	0	0	0	5.0
0	0.015753361	72	0	0.564596717	1400.0	6	0	1	0	0.0
0	0.282514499	53	0	0.339637266	6450.0	6	0	1	0	1.0
0	0.186058019	62	0	0.124901532	11424.0	10	0	1	0	0.0
0	0.532499027	50	3	0.369983451	9667.0	13	0	1	0	0.0
0	0.201949513	54	0	0.005428054	10500.0	2	0	0	0	1.0
0	0.049502275	44	0	0.251319789	6250.0	5	0	1	0	0.0
0	0.65487267	50	1	0.991345397	5083.0	13	0	1	0	0.0
1	0.585545303	53	0	0.158786168	4250.0	16	0	0	0	0.0
0	0.9999999	60	0	0.167040165	5800.0	4	0	2	0	0.0
1	0.366772901	54	1	0.453672844	7500.0	21	0	1	0	0.0
0	0.011226239	59	0	0.29631224	6968.0	8	0	1	0	0.0
0	0.987571784	44	1	0.59182382	7900.0	21	0	2	0	2.0
0	0.024760595	77	1	0.003499125	4000.0	3	0	0	0	0.0
0	0.453380178	33	0	0.671923209	2916.0	8	0	1	0	1.0
0	0.421456963	35	0	0.500097675	5118.0	11	0	2	0	3.0
0	0.828689508	31	0	0.071309563	3000.0	5	0	0	0	0.0
0	0.055861846	47	0	0.282343114	9576.0	13	0	3	0	4.0
0	0.712878434	28	0	0.27368076	3050.0	6	0	0	0	0.0
0	0.070025295	42	0	0.331740918	9000.0	8	0	1	0	2.0
0	0.008961982	44	0	0.201761103	2611.0	8	0	1	0	0.0
0	0.447465042	59	0	0.496729238	7031.0	10	0	2	0	2.0
0	0.99692355	26	1	0.187521544	2900.0	2	0	0	0	0.0
0	0.020774597	62	0	0.170643914	7500.0	17	0	1	0	0.0
0	0.883178049	31	0	0.207646777	6250.0	4	0	0	0	0.0
0	0.982230673	58	0	0.579673136	3915.0	5	0	0	0	0.0
0	0.511632848	50	1	1.543228386	2000.0	11	0	1	0	0.0
0	0.174658904	51	0	0.163593796	3416.0	6	0	0	0	0.0
0	0.00392934	64	0	0.000499975	20000.0	12	0	0	0	0.0
0	0.19838692	31	0	0.141239174	1500.0	3	0	0	0	1.0
0	0.272977495	46	0	0.15064156	6000.0	15	0	0	0	1.0
0	0.10835758	55	0	0.650790765	5500.0	12	0	2	0	0.0
0	0.334724242	72	0	1.159970376	5400.0	12	0	2	0	1.0
0	0.890219561	62	0	0.783216783	1000.0	5	0	0	0	0.0
1	1.115884116	42	0	0.517814288	5416.0	5	0	1	0	2.0
1	0.011827873	43	1	0.492385787	6500.0	10	0	2	0	4.0
0	0.379208177	35	0	0.332945827	4300.0	7	0	1	0	1.0
0	0.005532964	43	0	0.00037843	5284.0	1	0	0	0	1.0
0	0.224064661	36	0	0.417516497	5000.0	5	0	1	0	0.0
0	0.829567731	53	0	0.296282732	5460.0	4	0	0	0	0.0
0	0.011666059	64	0	0.423905799	4500.0	6	0	2	0	0.0
0	0.346904252	61	0	0.510181414	2700.0	6	0	0	0	0.0
0	0.9999999	26	0	0.041187159	1650.0	1	0	0	0	1.0
0	0.002814745	45	0	0.11387089	8333.0	8	0	2	0	0.0
0	0.733245394	39	0	0.402094989	8400.0	7	0	2	0	1.0
0	0.201278826	47	0	0.235591507	8900.0	11	0	1	0	1.0
0	0.104515515	61	1	0.326824733	4301.0	10	0	1	0	0.0
0	0.9999999	39	0	0.212433614	3200.0	3	2	0	1	1.0
0	0.050862492	30	0	0.057407112	6270.0	7	0	0	0	0.0
0	0.083700393	48	0	0.415595544	3500.0	19	0	1	0	0.0
0	0.194225596	78	0	0.594969365	3100.0	12	0	1	0	0.0
0	1.077784443	40	3	0.183189655	2783.0	4	3	0	0	0.0
0	0.344266393	47	0	0.122622183	6833.0	7	0	0	0	3.0
0	0.107522804	62	0	0.283633248	3500.0	9	0	1	0	0.0
0	0.001341205	56	0	0.309134288	2933.0	12	0	1	0	2.0
0	0.592837948	57	0	0.487064836	6261.0	7	0	3	0	0.0
0	0.034209743	50	0	0.087481775	4800.0	5	0	0	0	0.0
0	0.9999999	31	0	0.108478341	2700.0	1	0	0	0	2.0
0	0.387222947	72	0	0.630971993	1213.0	7	0	0	0	0.0
0	0.682943088	41	0	0.465369933	5500.0	5	0	1	0	1.0
0	0.037448128	73	0	0.273483687	9133.0	4	0	2	0	0.0
0	0.9999999	45	0	0.20607243	8200.0	3	0	1	0	0.0
0	0.070344792	41	0	0.43916118	4100.0	13	0	1	0	1.0
1	0.779240326	38	4	0.458613342	6100.0	12	0	0	0	2.0
0	0.0	33	1	0.158164573	3900.0	12	0	0	0	1.0
0	0.9999999	67	0	0.317820909	4533.0	3	0	1	0	0.0
0	0.0	28	0	0.0	2720.0	1	0	0	0	0.0
0	0.052997476	40	0	0.111606085	21100.0	8	0	1	0	2.0
0	1.282392027	35	0	0.005497251	2000.0	1	0	0	2	4.0
0	0.033221325	75	0	0.405437825	2500.0	12	0	1	0	0.0
0	0.9999999	37	0	0.295122709	6437.0	8	0	2	0	0.0
0	0.900762405	34	0	0.093726568	4000.0	5	1	0	0	1.0
0	0.185013059	56	1	0.64405085	7000.0	19	0	3	0	1.0
0	0.028412033	62	0	0.019996001	5000.0	14	0	0	0	0.0
1	0.108545481	34	0	0.198334966	4083.0	8	1	0	0	3.0
0	0.0	86	0	0.058470765	2667.0	5	0	0	0	0.0
0	0.579569206	46	3	0.555768381	6786.0	14	0	2	0	3.0
0	0.043099957	60	0	0.670762142	10417.0	20	0	7	0	1.0
0	0.14079296	66	0	0.384610431	15529.0	6	0	2	0	0.0
0	0.900328508	58	0	0.221650589	4664.0	8	0	0	0	0.0
0	0.82576452	38	0	0.128644602	5075.0	6	0	0	0	2.0
0	0.092254098	89	0	0.065757896	10416.0	5	0	0	0	0.0
0	0.0	66	0	0.0	1500.0	1	0	0	0	1.0
1	2.875621891	41	0	0.163576881	2750.0	2	4	0	0	1.0
0	0.9999999	38	0	0.305338932	5000.0	3	0	1	0	3.0
0	0.0866631	66	0	0.477807117	7952.0	8	0	2	0	2.0
0	0.173096153	32	0	0.094014681	7083.0	9	0	0	0	0.0
0	0.001600585	61	0	0.211702827	3041.0	8	0	1	0	0.0
0	0.216819856	59	0	0.396322346	11800.0	11	0	2	0	0.0
0	0.482793879	78	0	0.788098694	6200.0	13	0	2	0	0.0
1	0.824705823	29	0	0.586914576	5700.0	14	0	1	0	2.0
0	0.645855913	36	0	0.522060181	5416.0	12	0	0	0	0.0
0	0.077534628	33	0	0.162318388	6400.0	19	0	1	0	0.0
1	0.319440025	46	3	0.295405856	4200.0	15	0	0	0	1.0
0	0.037744591	51	0	0.124175165	3333.0	9	0	0	0	3.0
0	0.050312168	41	0	0.117403672	11600.0	4	0	1	0	3.0
0	0.720149754	47	0	0.401658122	9166.0	9	0	1	0	1.0
0	0.044997	53	0	0.180563887	5000.0	2	0	1	0	0.0
0	0.628122769	42	0	0.628071637	2400.0	4	0	1	0	3.0
0	0.01469853	67	0	0.64028777	1667.0	8	0	1	0	0.0
0	0.03304029	45	0	1.214785215	1000.0	14	0	1	0	2.0
0	0.206951598	75	0	0.393053473	4001.0	11	0	2	0	0.0
0	0.031096428	61	0	145.0	0.0	16	0	0	0	0.0
1	0.873417722	45	2	0.336707912	8000.0	9	0	1	0	1.0
0	0.099164945	35	0	0.328928047	14300.0	8	0	2	0	1.0
0	0.473249683	61	0	1882.0	0.0	16	0	1	0	0.0
0	0.402333129	31	1	0.35882059	2000.0	7	0	0	0	0.0
0	0.273292269	40	0	0.418878743	9417.0	11	0	1	0	3.0
0	0.875432526	67	1	0.089986569	6700.0	9	0	0	2	1.0
0	0.382461084	38	1	0.973578403	3481.0	8	0	2	0	2.0
0	0.729985458	40	0	0.506036885	7536.0	9	0	1	0	3.0
0	0.070868921	48	0	0.423964325	15472.0	9	0	3	0	3.0
0	0.9999999	49	0	0.586768699	4050.0	7	0	2	0	0.0
0	0.9999999	52	0	0.576020455	10950.0	4	0	4	0	2.0
0	0.503149895	60	0	0.12910597	3500.0	3	0	0	0	0.0
0	0.0	61	0	0.0	1892.0	7	0	0	0	0.0
0	0.39051717	42	0	0.453302101	13233.0	12	0	2	0	3.0
0	0.000504084	84	0	0.196434693	5833.0	14	0	1	0	0.0
0	0.425759456	57	0	0.519461516	6833.0	26	0	2	0	0.0
0	0.036478746	52	0	0.050398387	10416.0	7	0	0	0	1.0
0	0.19129696	70	0	0.213109877	10083.0	15	0	1	0	0.0
0	0.626136352	43	0	0.343618513	12833.0	21	0	2	0	4.0
0	0.959088221	47	0	0.0508523	10500.0	10	0	0	0	0.0
0	0.003645616	70	0	0.000813736	12288.0	19	0	0	0	0.0
0	0.574252926	49	0	0.319736053	3333.0	9	0	1	1	3.0
0	0.015640046	40	0	0.817105061	6500.0	7	0	2	0	1.0
0	0.015053998	61	0	1.295481807	2500.0	11	0	2	0	0.0
0	0.033101134	44	0	0.302234588	11500.0	11	0	2	0	2.0
0	0.172307406	46	0	0.24598243	14000.0	23	0	2	0	5.0
0	0.259417575	56	0	0.427135678	9750.0	16	0	2	0	0.0
0	0.0	33	0	1.032679739	2447.0	7	0	2	0	0.0
0	0.025690332	69	0	0.699127907	1375.0	6	0	0	0	0.0
0	0.380998643	47	0	0.401954062	5833.0	12	0	2	0	0.0
0	0.228272338	41	0	0.429542728	7500.0	8	0	1	0	1.0
0	0.011816338	65	0	0.106919077	7500.0	26	0	1	0	0.0
0	0.539763113	27	0	0.111143355	3445.0	9	0	0	0	1.0
1	0.410353255	47	2	0.401331633	7058.0	8	0	3	1	3.0
0	0.0	62	0	0.300065125	6141.0	6	0	1	0	0.0
0	0.047916048	49	0	0.009279086	1400.0	7	0	0	0	0.0
0	0.111346301	39	0	0.46747021	7300.0	8	0	1	0	4.0
0	0.027543376	77	0	0.061708409	10500.0	8	0	0	0	0.0
0	0.0	56	0	0.16347428	8300.0	7	0	1	0	0.0
0	0.9999999	67	0	443.0	0.0	5	0	1	0	0.0
0	0.9999999	33	0	0.0	2833.0	0	0	0	0	0.0
0	0.050464651	36	0	0.043224119	6500.0	5	0	0	0	0.0
0	0.273744785	50	0	0.502382213	5666.0	12	0	1	0	0.0
0	0.369674565	55	0	0.045959596	5939.0	3	0	0	0	1.0
0	0.021365294	69	0	0.229230875	14600.0	22	0	1	0	0.0
0	0.079767074	57	0	0.244746428	14275.0	15	0	1	0	1.0
0	0.06221074	63	0	0.398011656	5833.0	9	0	1	0	0.0
0	0.05893771	38	0	0.524155352	6333.0	6	0	2	0	2.0
0	0.0	84	0	0.002427839	7413.0	7	0	0	0	0.0
0	0.528928668	62	0	0.894819193	5751.0	8	0	2	0	1.0
1	1.00179964	38	3	2.934065934	1000.0	7	0	2	1	1.0
0	0.101124171	40	0	0.395444903	8956.0	12	0	2	0	1.0
0	0.40226036	42	0	0.474453261	10333.0	9	0	2	0	1.0
0	0.020382464	63	0	0.524327927	4500.0	17	0	1	0	0.0
0	0.030586436	44	0	0.647470506	5000.0	3	0	1	0	0.0
0	0.99989647	42	0	0.137772675	5225.0	2	0	0	0	0.0
0	0.532352884	59	0	0.445469957	5308.0	9	0	2	0	0.0
0	0.411534602	52	1	0.96686661	3500.0	15	0	1	0	2.0
0	0.046212101	41	0	0.272847858	7538.0	8	0	2	0	2.0
0	0.026663112	63	0	0.096306909	6281.0	6	0	0	0	0.0
0	0.140421216	50	0	0.413733906	9319.0	10	0	2	0	2.0
0	0.33011555	70	0	0.383446621	2500.0	10	0	0	0	0.0
0	0.022314891	53	0	0.269642642	8310.0	9	0	1	0	1.0
1	0.777181349	36	0	0.213361562	4250.0	8	0	0	0	1.0
0	0.156388315	63	0	152.0	0.0	5	0	0	0	0.0
0	0.355764424	72	0	0.160183982	10000.0	11	0	1	0	3.0
0	0.086077897	55	0	0.696920583	4935.0	11	0	2	0	0.0
1	0.804095672	25	0	1.051771117	1100.0	7	0	0	0	0.0
0	0.0	58	0	0.077946103	20000.0	5	0	0	0	2.0
0	0.076468958	78	0	0.127601586	4035.0	8	0	0	0	0.0
0	0.0061509	43	0	0.555992141	7125.0	8	0	2	0	4.0
0	0.000164259	46	0	0.696173874	8833.0	22	0	9	0	0.0
0	0.818469518	51	1	0.338186283	5700.0	7	0	0	0	1.0
0	0.125815649	59	0	0.37506279	17916.0	16	0	4	1	3.0
0	0.363566528	49	0	0.404664939	2700.0	7	0	0	0	2.0
0	0.052713971	44	0	0.614610511	2682.0	12	0	1	0	2.0
0	1.0061529	44	0	0.464709204	7083.0	6	1	1	0	3.0
0	0.307310105	55	1	0.754016423	2800.0	5	0	1	0	1.0
1	0.823294176	24	2	0.200874727	3200.0	5	2	0	0	2.0
1	1.009092719	33	1	0.661112535	3900.0	6	0	2	2	0.0
0	0.938061938	49	1	0.35347743	6800.0	7	0	1	1	1.0
0	0.938959826	26	0	0.189088832	3500.0	5	0	0	0	0.0
0	0.436067266	40	0	0.514075243	3800.0	4	0	1	0	2.0
0	0.14119647	64	0	0.39348312	8500.0	15	0	1	0	5.0
0	0.004733228	64	0	0.229044637	4950.0	11	0	1	0	0.0
0	0.0	73	0	0.27384077	8000.0	7	0	1	0	1.0
0	0.010443063	58	0	0.07710535	21100.0	11	0	1	0	0.0
0	0.815909193	70	0	0.240606252	3166.0	6	0	0	0	0.0
0	0.626267054	57	0	0.288285286	6000.0	9	0	2	0	1.0
0	0.986734218	56	0	0.576279952	5800.0	3	0	1	0	0.0
0	0.048761888	55	0	0.189975464	5705.0	9	0	2	0	1.0
0	0.00441198	58	0	0.19144132	18600.0	5	0	2	0	0.0
0	0.549195052	67	0	0.794992175	1916.0	20	0	0	0	0.0
0	0.140765195	47	0	0.311484516	7200.0	20	0	1	0	1.0
0	0.180091444	61	0	0.19950306	16500.0	17	0	1	0	0.0
0	0.032647544	79	0	0.016994335	3000.0	9	0	0	0	1.0
0	0.186022032	36	0	0.124516731	7500.0	7	0	0	0	0.0
0	0.0	80	0	0.318757499	7500.0	12	0	1	0	0.0
0	0.064189337	55	0	0.095143284	14062.0	11	0	2	0	1.0
0	0.999933972	34	0	0.840428989	3076.0	8	0	2	0	0.0
0	0.010030367	69	0	0.003193033	3444.0	6	0	0	0	0.0
0	0.400669992	58	0	0.838947744	8400.0	18	0	2	0	1.0
0	0.114264882	73	0	0.418008949	8939.0	7	0	1	0	0.0
0	0.627126809	50	0	0.834930314	9183.0	13	0	3	0	0.0
0	0.130460278	47	0	0.414455689	14623.0	13	0	1	0	2.0
0	0.019092014	63	0	0.024457776	6500.0	7	0	0	0	0.0
1	0.658544156	53	0	0.951917573	5240.0	17	0	4	1	1.0
